hour_of_day,season,day_of_week,"Comptador Campus Diagonal Sud 1 [kWh] [Sud 1 (ETSAB, EPSEB i FME)]",CS A,CS B,CS C,Electricitat Total,festiu
11,Autumn,Tuesday,446.61538461538464,125.10992307692308,58.58338461538462,63.81561538461539,247.50892307692308,0.0
11,Autumn,Wednesday,473.4166666666667,123.48808333333334,58.080749999999995,70.99133333333333,252.56016666666665,0.0
11,Autumn,Thursday,489.25,127.25383333333333,59.219166666666666,72.30383333333333,258.77683333333334,0.0
11,Autumn,Friday,408.0769230769231,111.22946153846154,55.923153846153845,64.28361538461539,231.4362307692308,0.0
11,Spring,Monday,313.6,121.7483,37.3742,53.8737,212.9962,0.0
11,Spring,Tuesday,318.4166666666667,123.92683333333333,35.336333333333336,54.25566666666666,213.51883333333333,0.0
11,Spring,Wednesday,284.7692307692308,124.96584615384616,35.08707692307692,55.01938461538461,215.0723076923077,0.0
11,Spring,Thursday,351.1666666666667,131.38891666666666,34.47975,56.99766666666667,222.86633333333336,0.0
11,Spring,Friday,328.8333333333333,126.38600000000001,34.86075,57.61966666666667,218.86641666666665,0.0
11,Summer,Monday,390.55555555555554,74.46555555555557,66.48544444444445,43.123999999999995,184.075,0.0
11,Summer,Tuesday,434.0,92.80562499999999,72.73025,32.056125,197.59199999999998,0.0
11,Summer,Wednesday,456.125,92.958125,69.592375,42.793625,205.344125,0.0
11,Summer,Thursday,426.55555555555554,92.72433333333333,71.53422222222223,43.88055555555556,208.1391111111111,0.0
11,Summer,Friday,386.6666666666667,88.37977777777778,69.64733333333334,38.22266666666666,196.24977777777778,0.0
11,Vacation,Monday,68.33333333333333,41.75383333333333,8.010333333333334,14.516083333333334,64.28025,1.0
11,Vacation,Tuesday,92.0,45.297,7.916,16.88577777777778,70.09877777777778,1.0
11,Vacation,Wednesday,61.3,25.5533,7.1659999999999995,19.381,52.10029999999999,1.0
11,Vacation,Thursday,83.3,36.184000000000005,11.8498,19.1786,67.2124,1.0
11,Vacation,Friday,21.875,20.491875,3.587,16.63925,40.718125,1.0
11,Winter,Monday,478.0,183.3434,36.8642,72.7757,292.9833,0.0
11,Winter,Tuesday,513.7,185.8098,38.2909,72.429,296.5297,0.0
11,Winter,Wednesday,458.25,184.6405,28.1475,60.7765,273.5645,0.0
11,Winter,Thursday,472.6666666666667,185.73655555555555,31.02777777777778,68.84233333333333,285.6066666666667,0.0
11,Winter,Friday,414.5,161.6293,32.555899999999994,66.7535,260.93870000000004,0.0
12,Autumn,Monday,443.8181818181818,120.98936363636363,63.37145454545455,68.26481818181819,252.62563636363637,0.0
12,Autumn,Tuesday,432.0769230769231,121.82246153846154,58.71515384615385,67.71846153846154,248.25607692307693,0.0
12,Autumn,Wednesday,458.0,122.35491666666667,60.69958333333333,77.48416666666667,260.53866666666664,0.0
12,Autumn,Thursday,492.4166666666667,127.99483333333335,61.59508333333333,79.83,269.41991666666667,0.0
12,Autumn,Friday,405.3076923076923,109.66938461538462,61.783,70.366,241.81838461538462,0.0
12,Spring,Monday,285.9,118.8862,40.5789,54.607000000000006,214.0721,0.0
12,Spring,Tuesday,303.6666666666667,121.83316666666667,39.02766666666667,55.38616666666667,216.24699999999999,0.0
12,Spring,Wednesday,289.2307692307692,124.91792307692307,36.265692307692305,58.76076923076923,219.94438461538462,0.0
12,Spring,Thursday,328.1666666666667,131.53833333333333,33.82758333333333,60.29291666666666,225.65883333333332,0.0
12,Spring,Friday,308.75,125.33725,36.941250000000004,62.46066666666667,224.73916666666665,0.0
12,Summer,Monday,367.8888888888889,78.55633333333333,70.69422222222222,45.013444444444445,194.264,0.0
12,Summer,Tuesday,449.125,98.29475000000001,72.67375,38.255875,209.224375,0.0
12,Summer,Wednesday,449.375,101.167625,70.03525,46.984625,218.1875,0.0
12,Summer,Thursday,411.77777777777777,100.58866666666667,70.99933333333334,48.07622222222223,219.66422222222224,0.0
12,Summer,Friday,388.1111111111111,94.2278888888889,73.58188888888888,41.220222222222226,209.03,0.0
12,Vacation,Monday,48.833333333333336,40.71,5.81975,14.245916666666666,60.775666666666666,1.0
12,Vacation,Tuesday,82.11111111111111,44.331,5.589111111111111,17.605555555555558,67.52566666666667,1.0
12,Vacation,Wednesday,43.7,25.274,5.3815,20.0131,50.668600000000005,1.0
12,Vacation,Thursday,73.1,35.3838,10.036100000000001,18.423000000000002,63.84290000000001,1.0
12,Vacation,Friday,18.25,20.248,3.611375,16.783625,40.643,1.0
12,Winter,Monday,444.9,168.741,37.3087,72.6113,278.661,0.0
12,Winter,Tuesday,486.2,176.9962,37.1933,70.6687,284.8582,0.0
12,Winter,Wednesday,426.6666666666667,177.29333333333332,31.564444444444444,62.44155555555556,271.2993333333333,0.0
12,Winter,Thursday,434.8888888888889,169.92911111111113,31.836555555555556,68.34077777777777,270.10644444444443,0.0
12,Winter,Friday,386.0,148.9914,33.7291,65.95009999999999,248.6706,0.0
13,Autumn,Monday,433.6363636363636,116.99072727272727,65.31918181818182,68.52718181818182,250.8370909090909,0.0
13,Autumn,Tuesday,413.9230769230769,118.31776923076924,59.99153846153846,67.40638461538461,245.7156923076923,0.0
13,Autumn,Wednesday,440.0,121.9425,62.089,82.39558333333333,266.4270833333333,0.0
13,Autumn,Thursday,458.8333333333333,123.68408333333333,63.36191666666667,82.49974999999999,269.54575,0.0
13,Autumn,Friday,391.53846153846155,108.11800000000001,62.60361538461538,71.73369230769231,242.45530769230768,0.0
13,Spring,Monday,279.4,117.391,47.277300000000004,51.6129,216.28119999999998,0.0
13,Spring,Tuesday,280.6666666666667,119.34666666666668,51.88491666666667,52.656000000000006,223.8875833333333,0.0
13,Spring,Wednesday,261.2307692307692,125.012,48.55761538461539,59.87892307692307,233.44853846153848,0.0
13,Spring,Thursday,309.5,128.43083333333334,45.39266666666666,59.13425,232.95775,0.0
13,Spring,Friday,282.0,122.95983333333334,45.14758333333333,62.702999999999996,230.81041666666667,0.0
