Date,Aula,Humidity,Distance,min_humidity,max_humidity,Color
2023-01-01 19:00:00,A-51,56.0,0.3076923076923066,30,60,Comfort
2023-01-01 19:00:00,A-44,53.5,2.1923076923076934,30,60,Comfort
2023-01-01 19:00:00,A-12,58.0,2.3076923076923066,30,60,Comfort
2023-01-01 19:00:00,A-32,59.0,3.3076923076923066,30,60,Comfort
2023-01-01 19:00:00,A-11,59.0,3.3076923076923066,30,60,Comfort
2023-01-01 19:00:00,A-33,49.0,6.692307692307693,30,60,Comfort
2023-01-01 20:00:00,A-14,56.0,0.0384615384615401,30,60,Comfort
2023-01-01 20:00:00,A-21,56.0,0.0384615384615401,30,60,Comfort
2023-01-01 20:00:00,A-44,54.0,1.96153846153846,30,60,Comfort
2023-01-01 20:00:00,A-12,59.0,3.03846153846154,30,60,Comfort
2023-01-01 20:00:00,A-11,59.0,3.03846153846154,30,60,Comfort
2023-01-01 20:00:00,A-32,59.5,3.53846153846154,30,60,Comfort
2023-01-01 20:00:00,A-33,49.0,6.96153846153846,30,60,Comfort
2023-01-01 21:00:00,A-61,56.5,0.1346153846153868,30,60,Comfort
2023-01-01 21:00:00,A-51,56.0,0.3653846153846132,30,60,Comfort
2023-01-01 21:00:00,A-44,54.0,2.365384615384613,30,60,Comfort
2023-01-01 21:00:00,A-12,59.0,2.634615384615387,30,60,Comfort
2023-01-01 21:00:00,A-32,60.0,3.634615384615387,30,60,Comfort
2023-01-01 21:00:00,A-11,60.0,3.634615384615387,30,60,Comfort
2023-01-01 21:00:00,A-33,49.0,7.365384615384613,30,60,Comfort
2023-01-01 22:00:00,A-31,56.0,0.4423076923076934,30,60,Comfort
2023-01-01 22:00:00,A-52,56.0,0.4423076923076934,30,60,Comfort
2023-01-01 22:00:00,A-44,54.0,2.4423076923076934,30,60,Comfort
2023-01-01 22:00:00,A-32,60.0,3.5576923076923066,30,60,Comfort
2023-01-01 22:00:00,A-12,60.0,3.5576923076923066,30,60,Comfort
2023-01-01 22:00:00,A-11,60.0,3.5576923076923066,30,60,Comfort
